100000
prs0	9847226	-393482
prs1	2246090	-2538214
prs2	2910919	1533687
prs3	7188412	1983762
prs4	8855328	-4897170
prs5	2766631	-2092861
prs6	3567827	-3505525
prs7	5307229	-1812104
prs8	9100343	-3986202
prs9	2135499	3600784
prs10	3607962	-1080138
prs11	1711112	-435694
prs12	4729028	4024991
prs13	6740490	2745384
prs14	7389867	1957456
prs15	7236809	-1843036
prs16	1684395	-2751290
prs17	9825549	1679824
prs18	2973857	-2700261
prs19	6138728	852506
prs20	1541205	-3432662
prs21	2218268	635787
prs22	8919486	-2485886
prs23	524258	-2478071
prs24	7505232	-3777615
prs25	7699382	3342031
prs26	9330273	-3864742
prs27	7510117	1925935
prs28	3966630	-4008602
prs29	1246522	-1630059
prs30	2847919	2388288
prs31	2236114	-2463246
prs32	5323804	-626834
prs33	593942	-2902239
prs34	1392107	4099567
prs35	5894454	-88361
prs36	7996263	-3198607
prs37	6601182	-477012
prs38	6482292	-2216151
prs39	8519153	-1974854
prs40	6695473	512644
prs41	5135576	1784574
prs42	7626616	-1283485
prs43	3969687	3002418
prs44	4300566	507878
prs45	9354947	570975
prs46	4726338	1272337
prs47	9692702	2770120
prs48	8578552	-3228351
prs49	3487462	-3284635
prs50	988787	-3605442
prs51	6431968	-1308575
prs52	7902347	3624626
prs53	9648078	-1514514
prs54	3560423	-4661576
prs55	6330962	779184
prs56	9387908	-1605921
prs57	4901463	-4869655
prs58	3210789	4968971
prs59	9262221	-2559016
prs60	2682907	4166207
prs61	3057467	-3145458
prs62	134378	-2175690
prs63	2668937	3052685
prs64	7307145	-1861909
prs65	2975620	3589326
prs66	7262444	-3546659
prs67	9081958	-2158096
prs68	4158894	3092863
prs69	425014	4188668
prs70	8482382	-517184
prs71	8885779	-1427392
prs72	7006807	912442
prs73	6638888	2513573
prs74	5698638	-2294825
prs75	8842749	3596933
prs76	1660759	3588082
prs77	7132891	-3200082
prs78	4619878	-1936856
prs79	8397081	2104443
prs80	9566604	2314082
prs81	6308183	316290
prs82	882658	2061678
prs83	3229227	-2638941
prs84	9032587	-73136
prs85	8859615	574506
prs86	6757765	-1293401
prs87	5571229	1139849
prs88	6024377	-3698194
prs89	1196905	-4153577
prs90	2091146	-3794088
prs91	6685695	1794088
